lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
-5.125,41.3125,31.2,0.0,0,3.8,2026-07-17T16:10:06Z
-4.875,41.3125,31.2,0.0,0,4.1,2026-07-17T16:10:06Z
-4.625,41.3125,31.6,0.0,4,3.61,2026-07-17T16:10:06Z
-4.375,41.3125,31.7,0.0,11,3.01,2026-07-17T16:10:06Z
-4.125,41.3125,31.5,0.0,2,2.92,2026-07-17T16:10:06Z
-3.875,41.3125,31.5,0.0,6,3.19,2026-07-17T16:10:06Z
-3.625,41.3125,31.4,0.0,19,3.33,2026-07-17T16:10:06Z
-3.375,41.3125,30.1,0.0,16,3.37,2026-07-17T16:10:06Z
-3.125,41.3125,29.4,0.0,0,4.84,2026-07-17T16:10:06Z
-2.875,41.3125,30.1,0.0,0,5.8,2026-07-17T16:10:06Z
-2.625,41.3125,30.1,0.0,0,5.53,2026-07-17T16:10:06Z
-2.375,41.3125,31.5,0.0,0,5.52,2026-07-17T16:10:06Z
-2.125,41.3125,34.0,0.0,0,5.28,2026-07-17T16:10:06Z
-1.875,41.3125,34.6,0.0,0,4.52,2026-07-17T16:10:06Z
-1.625,41.3125,36.2,0.0,0,4.41,2026-07-17T16:10:06Z
-1.375,41.375,32.7,0.0,0,3.24,2026-07-17T16:10:06Z
-1.125,41.3125,32.3,0.0,0,4.02,2026-07-17T16:10:06Z
-0.875,41.3125,32.6,0.0,0,3.01,2026-07-17T16:10:06Z
-0.625,41.3125,36.2,0.0,0,2.95,2026-07-17T16:10:06Z
-0.375,41.3125,37.5,0.0,0,3.26,2026-07-17T16:10:06Z
-0.125,41.3125,36.7,0.0,0,3.24,2026-07-17T16:10:06Z
0.125,41.3125,37.7,0.0,2,3.34,2026-07-17T16:10:06Z
0.375,41.3125,37.7,0.0,10,4.18,2026-07-17T16:10:06Z
0.625,41.3125,32.9,0.0,4,6.41,2026-07-17T16:10:06Z
0.875,41.375,33.6,0.0,48,2.53,2026-07-17T16:10:06Z
1.0625,41.3125,27.7,0.0,34,2.02,2026-07-17T16:10:06Z
1.375,41.3125,30.1,0.0,20,4.52,2026-07-17T16:10:06Z
1.625,41.3125,29.8,0.0,0,4.93,2026-07-17T16:10:06Z
1.875,41.3125,29.8,0.0,1,3.41,2026-07-17T16:10:06Z
2.125,41.3125,28.9,0.0,18,3.71,2026-07-17T16:10:06Z
2.375,41.3125,27.5,0.0,1,3.8,2026-07-17T16:10:06Z
2.625,41.3125,27.3,0.0,0,3.55,2026-07-17T16:10:06Z
2.875,41.3125,26.7,0.0,0,3.32,2026-07-17T16:10:06Z
3.125,41.3125,26.4,0.0,0,2.9,2026-07-17T16:10:06Z
3.375,41.3125,26.4,0.0,0,2.77,2026-07-17T16:10:06Z
3.625,41.3125,26.4,0.0,0,2.58,2026-07-17T16:10:06Z
3.875,41.3125,26.5,0.0,2,2.19,2026-07-17T16:10:06Z
4.125,41.3125,26.4,0.0,11,1.63,2026-07-17T16:10:06Z
