lon,lat,temperature_2m,precipitation,cloud_cover,wind_speed_10m,last_updated
4.7,47.5,34.7,0.0,0,3.33,2026-06-24T17:02:03Z
4.76,47.5,34.5,0.0,0,2.97,2026-06-24T17:02:03Z
4.8,47.5,35.0,0.0,0,3.54,2026-06-24T17:02:03Z
4.86,47.5,35.2,0.0,0,3.27,2026-06-24T17:02:03Z
4.9,47.5,34.8,0.0,0,3.52,2026-06-24T17:02:03Z
4.94,47.5,35.2,0.0,0,3.33,2026-06-24T17:02:03Z
5.0,47.5,36.6,0.0,0,4.66,2026-06-24T17:02:03Z
5.06,47.5,36.1,0.0,0,5.45,2026-06-24T17:02:03Z
5.1,47.5,36.5,0.0,0,5.48,2026-06-24T17:02:03Z
5.16,47.5,36.8,0.0,0,5.14,2026-06-24T17:02:03Z
5.2,47.5,37.0,0.0,0,5.42,2026-06-24T17:02:03Z
5.26,47.5,36.6,0.0,0,5.48,2026-06-24T17:02:03Z
5.3,47.5,36.9,0.0,0,5.49,2026-06-24T17:02:03Z
5.36,47.5,36.5,0.0,0,5.08,2026-06-24T17:02:03Z
5.4,47.5,36.9,0.0,0,4.26,2026-06-24T17:02:03Z
5.44,47.5,36.8,0.0,0,5.02,2026-06-24T17:02:03Z
5.5,47.5,36.7,0.0,0,5.52,2026-06-24T17:02:03Z
5.56,47.5,36.8,0.0,0,3.7,2026-06-24T17:02:03Z
5.6,47.5,36.8,0.0,0,3.36,2026-06-24T17:02:03Z
5.66,47.5,36.7,0.0,0,3.66,2026-06-24T17:02:03Z
5.7,47.5,36.4,0.0,0,3.26,2026-06-24T17:02:03Z
5.76,47.5,36.0,0.0,0,2.13,2026-06-24T17:02:03Z
5.8,47.5,36.1,0.0,0,2.12,2026-06-24T17:02:03Z
5.86,47.5,35.8,0.0,0,2.5,2026-06-24T17:02:03Z
5.9,47.5,36.2,0.0,0,3.3,2026-06-24T17:02:03Z
5.94,47.5,35.8,0.0,0,3.71,2026-06-24T17:02:03Z
4.7,47.54,35.5,0.0,0,2.77,2026-06-24T17:02:03Z
4.76,47.54,35.2,0.0,0,3.8,2026-06-24T17:02:03Z
4.8,47.54,35.7,0.0,0,4.41,2026-06-24T17:02:03Z
4.86,47.54,36.1,0.0,0,3.69,2026-06-24T17:02:03Z
4.9,47.54,35.3,0.0,0,4.08,2026-06-24T17:02:03Z
4.94,47.54,36.2,0.0,0,4.12,2026-06-24T17:02:03Z
5.0,47.54,36.0,0.0,0,5.16,2026-06-24T17:02:03Z
5.06,47.54,36.4,0.0,0,5.7,2026-06-24T17:02:03Z
5.1,47.54,36.2,0.0,0,4.3,2026-06-24T17:02:03Z
5.16,47.54,36.3,0.0,0,4.57,2026-06-24T17:02:03Z
5.2,47.54,36.9,0.0,0,4.61,2026-06-24T17:02:03Z
5.26,47.54,36.3,0.0,0,5.27,2026-06-24T17:02:03Z
5.3,47.54,36.4,0.0,0,5.16,2026-06-24T17:02:03Z
5.36,47.54,36.5,0.0,0,5.36,2026-06-24T17:02:03Z
5.4,47.54,36.5,0.0,0,5.2,2026-06-24T17:02:03Z
5.44,47.54,36.9,0.0,0,5.28,2026-06-24T17:02:03Z
5.5,47.54,36.6,0.0,0,4.56,2026-06-24T17:02:03Z
5.56,47.54,36.5,0.0,0,4.08,2026-06-24T17:02:03Z
5.6,47.54,36.6,0.0,0,3.51,2026-06-24T17:02:03Z
5.66,47.54,36.1,0.0,0,4.31,2026-06-24T17:02:03Z
5.7,47.54,36.4,0.0,0,3.98,2026-06-24T17:02:03Z
5.76,47.54,36.6,0.0,0,3.49,2026-06-24T17:02:03Z
5.8,47.54,36.4,0.0,35,2.37,2026-06-24T17:02:03Z
5.86,47.54,36.4,0.0,0,3.01,2026-06-24T17:02:03Z
5.9,47.54,36.0,0.0,0,3.61,2026-06-24T17:02:03Z
5.94,47.54,35.7,0.0,0,3.54,2026-06-24T17:02:03Z
4.7,47.6,36.4,0.0,0,4.26,2026-06-24T17:02:03Z
4.76,47.6,35.7,0.0,0,5.16,2026-06-24T17:02:03Z
4.8,47.6,35.2,0.0,0,5.06,2026-06-24T17:02:03Z
4.86,47.6,34.8,0.0,0,4.78,2026-06-24T17:02:03Z
4.9,47.6,34.7,0.0,0,4.9,2026-06-24T17:02:03Z
4.94,47.6,35.1,0.0,0,4.26,2026-06-24T17:02:03Z
5.0,47.6,35.1,0.0,0,3.26,2026-06-24T17:02:03Z
5.06,47.6,35.1,0.0,0,3.98,2026-06-24T17:02:03Z
5.1,47.6,35.8,0.0,0,3.89,2026-06-24T17:02:03Z
5.16,47.6,35.1,0.0,0,3.88,2026-06-24T17:02:03Z
5.2,47.6,35.7,0.0,0,4.44,2026-06-24T17:02:03Z
5.26,47.6,36.2,0.0,0,5.05,2026-06-24T17:02:03Z
5.3,47.6,36.1,0.0,0,4.03,2026-06-24T17:02:03Z
5.36,47.6,36.0,0.0,0,4.02,2026-06-24T17:02:03Z
5.4,47.6,36.6,0.0,0,3.96,2026-06-24T17:02:03Z
5.44,47.6,36.4,0.0,0,4.36,2026-06-24T17:02:03Z
5.5,47.6,36.0,0.0,0,5.06,2026-06-24T17:02:03Z
5.56,47.6,36.6,0.0,0,4.68,2026-06-24T17:02:03Z
5.6,47.6,36.4,0.0,0,4.98,2026-06-24T17:02:03Z
5.66,47.6,36.4,0.0,0,5.83,2026-06-24T17:02:03Z
5.7,47.6,36.5,0.0,0,5.28,2026-06-24T17:02:03Z
5.76,47.6,36.7,0.0,0,6.05,2026-06-24T17:02:03Z
5.8,47.6,36.6,0.0,0,5.3,2026-06-24T17:02:03Z
5.86,47.6,36.3,0.0,0,4.3,2026-06-24T17:02:03Z
5.9,47.6,35.9,0.0,0,3.22,2026-06-24T17:02:03Z
5.94,47.6,35.5,0.0,0,2.82,2026-06-24T17:02:03Z
4.7,47.66,36.3,0.0,0,5.56,2026-06-24T17:02:03Z
4.76,47.66,36.1,0.0,0,4.11,2026-06-24T17:02:03Z
4.8,47.66,35.3,0.0,0,3.68,2026-06-24T17:02:03Z
4.86,47.66,35.6,0.0,0,3.83,2026-06-24T17:02:03Z
4.9,47.66,34.8,0.0,0,4.59,2026-06-24T17:02:03Z
4.94,47.66,35.0,0.0,0,4.33,2026-06-24T17:02:03Z
5.0,47.66,35.3,0.0,0,3.69,2026-06-24T17:02:03Z
5.06,47.66,35.4,0.0,0,3.61,2026-06-24T17:02:03Z
5.1,47.66,35.5,0.0,0,3.88,2026-06-24T17:02:03Z
5.16,47.66,35.2,0.0,0,4.56,2026-06-24T17:02:03Z
5.2,47.66,34.7,0.0,0,5.19,2026-06-24T17:02:03Z
5.26,47.66,35.6,0.0,0,5.75,2026-06-24T17:02:03Z
5.3,47.66,36.0,0.0,0,5.11,2026-06-24T17:02:03Z
5.36,47.66,36.1,0.0,0,4.66,2026-06-24T17:02:03Z
5.4,47.66,35.8,0.0,0,4.0,2026-06-24T17:02:03Z
5.44,47.66,36.0,0.0,0,4.92,2026-06-24T17:02:03Z
5.5,47.66,36.1,0.0,0,4.72,2026-06-24T17:02:03Z
5.56,47.66,36.0,0.0,0,4.65,2026-06-24T17:02:03Z
5.6,47.66,35.8,0.0,0,5.1,2026-06-24T17:02:03Z
5.66,47.66,36.1,0.0,0,5.1,2026-06-24T17:02:03Z
5.7,47.66,35.6,0.0,0,4.83,2026-06-24T17:02:03Z
5.76,47.66,36.3,0.0,0,5.16,2026-06-24T17:02:03Z
5.8,47.66,36.6,0.0,0,5.15,2026-06-24T17:02:03Z
5.86,47.66,35.7,0.0,0,3.41,2026-06-24T17:02:03Z
5.9,47.66,35.3,0.0,4,2.97,2026-06-24T17:02:03Z
5.94,47.66,35.5,0.0,0,2.44,2026-06-24T17:02:03Z
4.7,47.7,35.9,0.0,0,4.94,2026-06-24T17:02:03Z
4.76,47.7,36.0,0.0,0,4.18,2026-06-24T17:02:03Z
4.8,47.7,35.8,0.0,0,3.36,2026-06-24T17:02:03Z
4.86,47.7,36.1,0.0,0,3.75,2026-06-24T17:02:03Z
4.9,47.7,35.4,0.0,0,4.66,2026-06-24T17:02:03Z
4.94,47.7,35.0,0.0,0,4.88,2026-06-24T17:02:03Z
5.0,47.7,34.7,0.0,0,3.8,2026-06-24T17:02:03Z
5.06,47.7,35.8,0.0,0,4.03,2026-06-24T17:02:03Z
5.1,47.7,35.5,0.0,0,4.7,2026-06-24T17:02:03Z
5.16,47.7,35.0,0.0,0,5.46,2026-06-24T17:02:03Z
5.2,47.7,34.6,0.0,0,5.65,2026-06-24T17:02:03Z
5.26,47.7,35.4,0.0,0,4.85,2026-06-24T17:02:03Z
5.3,47.7,35.1,0.0,0,4.11,2026-06-24T17:02:03Z
5.36,47.7,35.9,0.0,0,4.39,2026-06-24T17:02:03Z
5.4,47.7,35.7,0.0,0,4.48,2026-06-24T17:02:03Z
5.44,47.7,36.4,0.0,0,4.67,2026-06-24T17:02:03Z
5.5,47.7,35.6,0.0,0,4.33,2026-06-24T17:02:03Z
5.56,47.7,35.5,0.0,0,4.53,2026-06-24T17:02:03Z
5.6,47.7,35.3,0.0,0,4.3,2026-06-24T17:02:03Z
5.66,47.7,35.7,0.0,0,4.22,2026-06-24T17:02:03Z
5.7,47.7,35.4,0.0,0,4.8,2026-06-24T17:02:03Z
5.76,47.7,36.3,0.0,0,5.5,2026-06-24T17:02:03Z
5.8,47.7,36.1,0.0,0,5.19,2026-06-24T17:02:03Z
5.86,47.7,36.0,0.0,0,3.72,2026-06-24T17:02:03Z
5.9,47.7,35.7,0.0,0,2.88,2026-06-24T17:02:03Z
5.94,47.7,35.4,0.0,0,2.88,2026-06-24T17:02:03Z
4.7,47.74,36.0,0.0,0,3.8,2026-06-24T17:02:03Z
4.76,47.74,35.9,0.0,0,3.62,2026-06-24T17:02:03Z
4.8,47.74,35.9,0.0,0,3.4,2026-06-24T17:02:03Z
4.86,47.74,36.2,0.0,0,5.09,2026-06-24T17:02:03Z
4.9,47.74,35.3,0.0,0,5.72,2026-06-24T17:02:03Z
4.94,47.74,35.5,0.0,0,4.74,2026-06-24T17:02:03Z
5.0,47.74,35.1,0.0,0,3.74,2026-06-24T17:02:03Z
5.06,47.74,35.0,0.0,0,4.22,2026-06-24T17:02:03Z
5.1,47.74,35.3,0.0,0,4.74,2026-06-24T17:02:03Z
5.16,47.74,34.8,0.0,0,4.81,2026-06-24T17:02:03Z
5.2,47.74,35.0,0.0,0,3.69,2026-06-24T17:02:03Z
5.26,47.74,35.7,0.0,0,4.12,2026-06-24T17:02:03Z
5.3,47.74,36.0,0.0,0,4.3,2026-06-24T17:02:03Z
5.36,47.74,35.7,0.0,0,6.08,2026-06-24T17:02:03Z
5.4,47.74,35.5,0.0,0,5.9,2026-06-24T17:02:03Z
5.44,47.74,35.9,0.0,0,4.88,2026-06-24T17:02:03Z
5.5,47.74,36.1,0.0,0,4.24,2026-06-24T17:02:03Z
5.56,47.74,35.9,0.0,0,4.33,2026-06-24T17:02:03Z
5.6,47.74,35.3,0.0,0,4.46,2026-06-24T17:02:03Z
5.66,47.74,35.2,0.0,0,3.58,2026-06-24T17:02:03Z
5.7,47.74,35.2,0.0,0,3.75,2026-06-24T17:02:03Z
5.76,47.74,35.6,0.0,0,4.61,2026-06-24T17:02:03Z
5.8,47.74,35.1,0.0,0,4.17,2026-06-24T17:02:03Z
5.86,47.74,36.2,0.0,0,5.0,2026-06-24T17:02:03Z
5.9,47.74,36.0,0.0,0,4.42,2026-06-24T17:02:03Z
5.94,47.74,35.2,0.0,0,2.89,2026-06-24T17:02:03Z
4.7,47.8,36.2,0.0,0,3.49,2026-06-24T17:02:03Z
4.76,47.8,36.2,0.0,0,3.53,2026-06-24T17:02:03Z
4.8,47.8,36.1,0.0,0,3.54,2026-06-24T17:02:03Z
4.86,47.8,36.1,0.0,0,4.43,2026-06-24T17:02:03Z
4.9,47.8,35.5,0.0,0,4.57,2026-06-24T17:02:03Z
4.94,47.8,35.4,0.0,0,4.52,2026-06-24T17:02:03Z
5.0,47.8,34.8,0.0,0,3.94,2026-06-24T17:02:03Z
5.06,47.8,35.6,0.0,0,4.48,2026-06-24T17:02:03Z
5.1,47.8,35.3,0.0,0,4.34,2026-06-24T17:02:03Z
5.16,47.8,34.6,0.0,0,3.83,2026-06-24T17:02:03Z
5.2,47.8,34.3,0.0,0,3.94,2026-06-24T17:02:03Z
5.26,47.8,35.2,0.0,0,5.1,2026-06-24T17:02:03Z
5.3,47.8,35.2,0.0,0,5.48,2026-06-24T17:02:03Z
5.36,47.8,34.5,0.0,0,5.52,2026-06-24T17:02:03Z
5.4,47.8,34.5,0.0,0,5.16,2026-06-24T17:02:03Z
5.44,47.8,35.4,0.0,0,4.33,2026-06-24T17:02:03Z
5.5,47.8,35.6,0.0,0,4.15,2026-06-24T17:02:03Z
5.56,47.8,35.8,0.0,0,4.83,2026-06-24T17:02:03Z
5.6,47.8,35.7,0.0,0,5.17,2026-06-24T17:02:03Z
5.66,47.8,35.6,0.0,0,4.7,2026-06-24T17:02:03Z
5.7,47.8,34.7,0.0,0,4.05,2026-06-24T17:02:03Z
5.76,47.8,35.3,0.0,0,3.58,2026-06-24T17:02:03Z
5.8,47.8,35.1,0.0,0,4.05,2026-06-24T17:02:03Z
5.86,47.8,35.9,0.0,0,5.01,2026-06-24T17:02:03Z
5.9,47.8,36.4,0.0,0,5.28,2026-06-24T17:02:03Z
5.94,47.8,36.2,0.0,0,5.15,2026-06-24T17:02:03Z
4.7,47.84,37.1,0.0,0,3.67,2026-06-24T17:02:03Z
4.76,47.84,36.4,0.0,0,3.48,2026-06-24T17:02:03Z
4.8,47.84,35.6,0.0,0,3.36,2026-06-24T17:02:03Z
4.86,47.84,36.0,0.0,0,3.64,2026-06-24T17:02:03Z
4.9,47.84,35.4,0.0,0,3.38,2026-06-24T17:02:03Z
4.94,47.84,35.5,0.0,0,3.29,2026-06-24T17:02:03Z
5.0,47.84,36.1,0.0,0,4.11,2026-06-24T17:02:03Z
5.06,47.84,35.2,0.0,0,4.18,2026-06-24T17:02:03Z
5.1,47.84,34.9,0.0,0,4.12,2026-06-24T17:02:03Z
5.16,47.84,34.7,0.0,0,3.61,2026-06-24T17:02:03Z
5.2,47.84,34.3,0.0,0,3.8,2026-06-24T17:02:03Z
5.26,47.84,35.1,0.0,0,4.65,2026-06-24T17:02:03Z
5.3,47.84,34.9,0.0,0,5.14,2026-06-24T17:02:03Z
5.36,47.84,35.3,0.0,0,4.75,2026-06-24T17:02:03Z
5.4,47.84,35.2,0.0,0,4.48,2026-06-24T17:02:03Z
5.44,47.84,34.9,0.0,0,4.67,2026-06-24T17:02:03Z
5.5,47.84,35.6,0.0,0,4.61,2026-06-24T17:02:03Z
5.56,47.84,35.9,0.0,0,4.38,2026-06-24T17:02:03Z
5.6,47.84,35.7,0.0,0,5.0,2026-06-24T17:02:03Z
5.66,47.84,35.1,0.0,0,4.33,2026-06-24T17:02:03Z
5.7,47.84,34.9,0.0,0,4.53,2026-06-24T17:02:03Z
5.76,47.84,34.9,0.0,0,4.43,2026-06-24T17:02:03Z
5.8,47.84,36.1,0.0,0,4.61,2026-06-24T17:02:03Z
5.86,47.84,35.4,0.0,0,4.89,2026-06-24T17:02:03Z
5.9,47.84,35.7,0.0,0,4.86,2026-06-24T17:02:03Z
5.94,47.84,35.4,0.0,0,4.75,2026-06-24T17:02:03Z
4.7,47.9,37.1,0.0,1,5.52,2026-06-24T17:02:03Z
4.76,47.9,36.9,0.0,0,5.17,2026-06-24T17:02:03Z
4.8,47.9,36.6,0.0,0,3.91,2026-06-24T17:02:03Z
4.86,47.9,35.9,0.0,0,3.19,2026-06-24T17:02:03Z
4.9,47.9,36.3,0.0,0,2.58,2026-06-24T17:02:03Z
4.94,47.9,35.9,0.0,0,2.51,2026-06-24T17:02:03Z
5.0,47.9,35.6,0.0,0,3.68,2026-06-24T17:02:03Z
5.06,47.9,35.5,0.0,0,3.61,2026-06-24T17:02:03Z
5.1,47.9,35.7,0.0,0,3.2,2026-06-24T17:02:03Z
